Notes,State,State Code,US-Mexico Border State Area,US-Mexico Border State Area Code,US-Mexico Border County,US-Mexico Border County Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,Arizona,4,Arizona Border Area,UMB03,"Cochise County, AZ",4003,< 1 year,1,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Arizona,4,Arizona Border Area,UMB03,"Cochise County, AZ",4003,1-4 years,4-Jan,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Arizona,4,Arizona Border Area,UMB03,"Cochise County, AZ",4003,5-9 years,9-May,0,44857,Unreliable,0,0,0
,Arizona,4,Arizona Border Area,UMB03,"Cochise County, AZ",4003,10-14 years,14-Oct,0,45782,Unreliable,0,0,0
,Arizona,4,Arizona Border Area,UMB03,"Cochise County, AZ",4003,15-19 years,15-19,0,47192,Unreliable,0,0,0
,Arizona,4,Arizona Border Area,UMB03,"Cochise County, AZ",4003,20-24 years,20-24,Suppressed,43002,Suppressed,Suppressed,Suppressed,Suppressed
,Arizona,4,Arizona Border Area,UMB03,"Cochise County, AZ",4003,25-29 years,25-29,Suppressed,46302,Suppressed,Suppressed,Suppressed,Suppressed
,Arizona,4,Arizona Border Area,UMB03,"Cochise County, AZ",4003,30-34 years,30-34,Suppressed,46388,Suppressed,Suppressed,Suppressed,Suppressed
,Arizona,4,Arizona Border Area,UMB03,"Cochise County, AZ",4003,35-39 years,35-39,Suppressed,45682,Suppressed,Suppressed,Suppressed,Suppressed
,Arizona,4,Arizona Border Area,UMB03,"Cochise County, AZ",4003,40-44 years,40-44,10,40822,Unreliable,11.7,45.1,7.7
,Arizona,4,Arizona Border Area,UMB03,"Cochise County, AZ",4003,45-49 years,45-49,19,37547,Unreliable,30.5,79,11.6
,Arizona,4,Arizona Border Area,UMB03,"Cochise County, AZ",4003,50-54 years,50-54,28,39687,70.6,46.9,102,13.3
,Arizona,4,Arizona Border Area,UMB03,"Cochise County, AZ",4003,55-59 years,55-59,52,46353,112.2,83.8,147.1,15.6
,Arizona,4,Arizona Border Area,UMB03,"Cochise County, AZ",4003,60-64 years ,60-64,91,51795,175.7,141.5,215.7,18.4
,Arizona,4,Arizona Border Area,UMB03,"Cochise County, AZ",4003,65-69 years,65-69,133,53567,248.3,206.1,290.5,21.5
,Arizona,4,Arizona Border Area,UMB03,"Cochise County, AZ",4003,70-74 years,70-74,150,49125,305.3,256.5,354.2,24.9
,Arizona,4,Arizona Border Area,UMB03,"Cochise County, AZ",4003,75-79 years,75-79,143,36166,395.4,330.6,460.2,33.1
,Arizona,4,Arizona Border Area,UMB03,"Cochise County, AZ",4003,80-84 years,80-84,129,23087,558.8,462.3,655.2,49.2
,Arizona,4,Arizona Border Area,UMB03,"Cochise County, AZ",4003,85-89 years,85-89,91,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Arizona,4,Arizona Border Area,UMB03,"Cochise County, AZ",4003,90-94 years,90-94,58,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Arizona,4,Arizona Border Area,UMB03,"Cochise County, AZ",4003,95-99 years,95-99,13,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Arizona,4,Arizona Border Area,UMB03,"Cochise County, AZ",4003,100+ years,100+,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Arizona,4,Arizona Border Area,UMB03,"Cochise County, AZ",4003,Not Stated,NS,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Arizona,4,Arizona Border Area,UMB03,"Pima County, AZ",4019,< 1 year,1,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Arizona,4,Arizona Border Area,UMB03,"Pima County, AZ",4019,1-4 years,4-Jan,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
