State,State Code,US-Mexico Border State Area,US-Mexico Border State Area Code,County,County Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,comments
Arizona,4,Arizona Border Area,UMB03,"Cochise County, AZ",4003,932,756495,123.2,115.3,131.1,4,
Arizona,4,Arizona Border Area,UMB03,"Pima County, AZ",4019,6641,6320316,105.1,102.5,107.6,1.3,
Arizona,4,Arizona Border Area,UMB03,"Santa Cruz County, AZ",4023,203,285617,71.1,61.3,80.9,5,
Arizona,4,Arizona Border Area,UMB03,"Yuma County, AZ",4027,1692,1271792,133,126.7,139.4,3.2,
Arizona,4,Arizona Non-Border Area,UMB04,"Apache County, AZ",4001,781,411671,189.7,176.4,203,6.8,
Arizona,4,Arizona Non-Border Area,UMB04,"Coconino County, AZ",4005,723,862395,83.8,77.7,89.9,3.1,
Arizona,4,Arizona Non-Border Area,UMB04,"Gila County, AZ",4007,549,323724,169.6,155.4,183.8,7.2,
Arizona,4,Arizona Non-Border Area,UMB04,"Graham County, AZ",4009,341,233474,146.1,130.6,161.6,7.9,
Arizona,4,Arizona Non-Border Area,UMB04,"Greenlee County, AZ",4011,68,56397,120.6,93.6,152.9,14.6,
Arizona,4,Arizona Non-Border Area,UMB04,"La Paz County, AZ",4012,324,113310,285.9,254.8,317.1,15.9,
Arizona,4,Arizona Non-Border Area,UMB04,"Maricopa County, AZ",4013,23341,27109302,86.1,85,87.2,0.6,
Arizona,4,Arizona Non-Border Area,UMB04,"Mohave County, AZ",4015,1738,1301127,133.6,127.3,139.9,3.2,
Arizona,4,Arizona Non-Border Area,UMB04,"Navajo County, AZ",4017,1084,659453,164.4,154.6,174.2,5,
Arizona,4,Arizona Non-Border Area,UMB04,"Pinal County, AZ",4021,2593,2788705,93,89.4,96.6,1.8,
Arizona,4,Arizona Non-Border Area,UMB04,"Yavapai County, AZ",4025,1920,1444843,132.9,126.9,138.8,3,
California,6,California Border Area,UMB05,"Imperial County, CA",6025,1372,1080930,126.9,120.2,133.6,3.4,
California,6,California Border Area,UMB05,"San Diego County, CA",6073,19011,19846371,95.8,94.4,97.2,0.7,
California,6,California Non-Border Area,UMB06,"Alameda County, CA",6001,7527,9900146,76,74.3,77.7,0.9,
California,6,California Non-Border Area,UMB06,"Alpine County, CA",6003,14,6915,,110.7,339.7,54.1,Unreliable
California,6,California Non-Border Area,UMB06,"Amador County, CA",6005,237,243700,97.3,84.9,109.6,6.3,
California,6,California Non-Border Area,UMB06,"Butte County, CA",6007,1746,1285970,135.8,129.4,142.1,3.2,
California,6,California Non-Border Area,UMB06,"Calaveras County, CA",6009,345,277164,124.5,111.3,137.6,6.7,
California,6,California Non-Border Area,UMB06,"Colusa County, CA",6011,139,130600,106.4,88.7,124.1,9,
California,6,California Non-Border Area,UMB06,"Contra Costa County, CA",6013,5591,6929478,80.7,78.6,82.8,1.1,
California,6,California Non-Border Area,UMB06,"Del Norte County, CA",6015,288,165379,174.1,154,194.3,10.3,
California,6,California Non-Border Area,UMB06,"El Dorado County, CA",6017,996,1154528,86.3,80.9,91.6,2.7,
California,6,California Non-Border Area,UMB06,"Fresno County, CA",6019,7280,6040352,120.5,117.8,123.3,1.4,
California,6,California Non-Border Area,UMB06,"Glenn County, CA",6021,247,169996,145.3,127.2,163.4,9.2,
California,6,California Non-Border Area,UMB06,"Humboldt County, CA",6023,1269,812213,156.2,147.6,164.8,4.4,
California,6,California Non-Border Area,UMB06,"Inyo County, CA",6027,148,110287,134.2,112.6,155.8,11,
California,6,California Non-Border Area,UMB06,"Kern County, CA",6029,6370,5445929,117,114.1,119.8,1.5,
California,6,California Non-Border Area,UMB06,"Kings County, CA",6031,772,916104,84.3,78.3,90.2,3,
California,6,California Non-Border Area,UMB06,"Lake County, CA",6033,654,398082,164.3,151.7,176.9,6.4,
California,6,California Non-Border Area,UMB06,"Lassen County, CA",6035,179,183315,97.6,83.3,112,7.3,
California,6,California Non-Border Area,UMB06,"Los Angeles County, CA",6037,61133,59301698,103.1,102.3,103.9,0.4,
California,6,California Non-Border Area,UMB06,"Madera County, CA",6039,1213,955284,127,119.8,134.1,3.6,
California,6,California Non-Border Area,UMB06,"Marin County, CA",6041,1032,1546455,66.7,62.7,70.8,2.1,
California,6,California Non-Border Area,UMB06,"Mariposa County, CA",6043,151,102920,146.7,123.3,170.1,11.9,
California,6,California Non-Border Area,UMB06,"Mendocino County, CA",6045,624,530612,117.6,108.4,126.8,4.7,
California,6,California Non-Border Area,UMB06,"Merced County, CA",6047,2354,1700092,138.5,132.9,144.1,2.9,
California,6,California Non-Border Area,UMB06,"Modoc County, CA",6049,90,52053,172.9,139,212.5,18.2,
California,6,California Non-Border Area,UMB06,"Mono County, CA",6051,26,82519,31.5,20.6,46.2,6.2,
California,6,California Non-Border Area,UMB06,"Monterey County, CA",6053,1988,2601467,76.4,73.1,79.8,1.7,
California,6,California Non-Border Area,UMB06,"Napa County, CA",6055,1046,816849,128.1,120.3,135.8,4,
California,6,California Non-Border Area,UMB06,"Nevada County, CA",6057,498,606874,82.1,74.9,89.3,3.7,
California,6,California Non-Border Area,UMB06,"Orange County, CA",6059,13420,18983265,70.7,69.5,71.9,0.6,
